comment,comment_without_emo,sentiment,intent
แต่เทียน่ามันขายไม่ดี นิสสันคงเน้นทำอีโคคาเต็มตัว555+,แต่เทียน่ามันขายไม่ดี นิสสันคงเน้นทำอีโคคาเต็มตัว555+,Negative,Neutral
ผ่าน etude เปิด twilght อีก,ผ่าน etude เปิด twilght อีก,Neutral,Neutral
ทีนี้กูไม่เห็นไอ้พวก ที่ค้านจดทะเบียนหุ้นเบียร์ช้างเข้าตลาดหลักทรัพย์เลย มันหายหัวไปไหนหมด และที่นี้แม่งไม่มอมเมาเหรอ,ทีนี้กูไม่เห็นไอ้พวก ที่ค้านจดทะเบียนหุ้นเบียร์ช้างเข้าตลาดหลักทรัพย์เลย มันหายหัวไปไหนหมด และที่นี้แม่งไม่มอมเมาเหรอ,Negative,Neutral
อีเหี้ยย วาสนาจะได้ขับ mazda 2 คือล่มละ อีช่างแม่งรื้อรถออกมาตรวจสภาพแล้วประกอบกลับไม่ได้อะ หนังหีมาก,อีเหี้ยย วาสนาจะได้ขับ mazda 2 คือล่มละ อีช่างแม่งรื้อรถออกมาตรวจสภาพแล้วประกอบกลับไม่ได้อะ หนังหีมาก,Negative,Neutral
ยังกล้ากินอยู่รึป่าววววววววว,ยังกล้ากินอยู่รึป่าววววววววว,Negative,Neutral
เอ็งมีนิสสัน titan อยู่แล้วแค่เอามาย่อส่วนสักนิดก็ได้แล้วไอ้ห่าจะดันทุรังทำนาวาร่าทำไมยอดขายต่ำเพราะมันไม่สวยและไม่เข้าใจลูกค้านี่แหละ,เอ็งมีนิสสัน titan อยู่แล้วแค่เอามาย่อส่วนสักนิดก็ได้แล้วไอ้ห่าจะดันทุรังทำนาวาร่าทำไมยอดขายต่ำเพราะมันไม่สวยและไม่เข้าใจลูกค้านี่แหละ,Negative,Neutral
กูจะเลิกกินไฮเนเก้นก็เพราะคลิปนี้แหละ🙈🙈🙈,กูจะเลิกกินไฮเนเก้นก็เพราะคลิปนี้แหละ,Negative,Neutral
ตัวนี้ดีกว่าเยอะ เบียร์หมีจืดสุดๆแต่ก็หอมอยู่นะครับ,ตัวนี้ดีกว่าเยอะ เบียร์หมีจืดสุดๆแต่ก็หอมอยู่นะครับ,Neutral,Neutral
มันไม่ถูกกดหมายบ้านเราจบ,มันไม่ถูกกดหมายบ้านเราจบ,Negative,Neutral
ไปกินมาเมื่อวานช้าอะไม่ค่อยอร่อยด้วยมันจืดๆไม่เข้มข้น,ไปกินมาเมื่อวานช้าอะไม่ค่อยอร่อยด้วยมันจืดๆไม่เข้มข้น,Negative,Neutral
กินไม่เปนเอมคงเอมเค😅,กินไม่เปนเอมคงเอมเค,Negative,Neutral
เมนส์... มึงทำกับผ้าอนามัย30เซ็นของกูเกินไปอาาาา กูใส่ยาวขนาดนี้มึงยังกล้าเลอะอีกเหรอ เกลียดอ่ะ,เมนส์... มึงทำกับผ้าอนามัย30เซ็นของกูเกินไปอาาาา กูใส่ยาวขนาดนี้มึงยังกล้าเลอะอีกเหรอ เกลียดอ่ะ,Negative,Neutral
คือมะวานจะไปกินที่ซีคอนศรีนครินสรุปปิดจ้าคืออดเซ็งมาก,คือมะวานจะไปกินที่ซีคอนศรีนครินสรุปปิดจ้าคืออดเซ็งมาก,Negative,Neutral
ขอถามคะ ในรูปเป็นแก้วอีกแบ ตอนสั่งใส่แก้วพลาสติก นั่งกินยุในร้าน ทำไมได้แก้วพลาสติกอะคะ #Mk โลตัสพระรามสาม,ขอถามคะ ในรูปเป็นแก้วอีกแบ ตอนสั่งใส่แก้วพลาสติก นั่งกินยุในร้าน ทำไมได้แก้วพลาสติกอะคะ #Mk โลตัสพระรามสาม,Neutral,Question
กินหม้อเอ็มเคติดจมูก,กินหม้อเอ็มเคติดจมูก,Neutral,Neutral
"งานเข้า! ""มาสด้า"" ฟ้องลูกค้า ""เรียกค่าเสียหาย 95 ล้าน"" แจงเหตุผลทำไมถึงฟ้อง ?!","งานเข้า! ""มาสด้า"" ฟ้องลูกค้า ""เรียกค่าเสียหาย 95 ล้าน"" แจงเหตุผลทำไมถึงฟ้อง ?!",Negative,Neutral
Fortuner ครับขอร้องล้ะ ตอนกลางคืนอย่าขับรถตามตูดกูเลย #แสบตาโว้ยยยยยย #รถกูมันคันน้อย #ลำแสงแห่งฟอร์จูน,Fortuner ครับขอร้องล้ะ ตอนกลางคืนอย่าขับรถตามตูดกูเลย #แสบตาโว้ยยยยยย #รถกูมันคันน้อย #ลำแสงแห่งฟอร์จูน,Negative,Neutral
เจ้เจ้ เฮาคงกินบ่เป็น😂😂😂,เจ้เจ้ เฮาคงกินบ่เป็น,Neutral,Neutral
อ่าววพี่นาว 5555555 นี่ไม่กล้าใช้พวกที่มาสก์อะไรเลยค่ะ แพ้ง่ายมากๆ ,อ่าววพี่นาว 5555555 นี่ไม่กล้าใช้พวกที่มาสก์อะไรเลยค่ะ แพ้ง่ายมากๆ ,Negative,Neutral
อร่อยยย ชอบมากๆๆๆๆ นี่กินป๋องดำไม่ได้อะจะอ้วกมันรสเหมือนแสงสว่าง กินนี้แร้วฟินนนนนน,อร่อยยย ชอบมากๆๆๆๆ นี่กินป๋องดำไม่ได้อะจะอ้วกมันรสเหมือนแสงสว่าง กินนี้แร้วฟินนนนนน,Positive,Neutral
"ไม่รู้จะแดกไรละเบื่อออ (@ เอ็มเค in Mueang Chiang Rai, Chiang Rai)","ไม่รู้จะแดกไรละเบื่อออ (@ เอ็มเค in Mueang Chiang Rai, Chiang Rai)",Neutral,Neutral
เกลียดดีแม็ค สัส,เกลียดดีแม็ค สัส,Negative,Neutral
เบียร์ช้างจะกล้าขึ้นราคาได้ยังไง เมื่อเดือนที่แล้วยังออกมาให้ข่าวว่ายอดขายเบียร์ลดลงมาก พอรัฐขึ้นภาษีถ้า ขึนขึ้นราคาตามลำดับขั้น ยิ่งจะซ้ำเติมยอดขายไปกันใหญ่,เบียร์ช้างจะกล้าขึ้นราคาได้ยังไง เมื่อเดือนที่แล้วยังออกมาให้ข่าวว่ายอดขายเบียร์ลดลงมาก พอรัฐขึ้นภาษีถ้า ขึนขึ้นราคาตามลำดับขั้น ยิ่งจะซ้ำเติมยอดขายไปกันใหญ่,Negative,Neutral
ชวนสา ก็ไม่มีใครอยากจะไป ,ชวนสา ก็ไม่มีใครอยากจะไป ,Negative,Neutral
อิเหี้ยจัยเย็น มันอินนิสฟรีเกาหลีว่ะ...,อิเหี้ยจัยเย็น มันอินนิสฟรีเกาหลีว่ะ...,Negative,Neutral
นึกว่าผมรู้สึกอยู่คนเดียววะอีก ผมว่าตำแหน่งมาสูงเกินไป ไฟก็สว่างจ้าเกินไปด้วยครับ ยังไม่รวมไอ้ไฟตักหมอกด้านหลังสีแดงของรถ Vios ที่คนไทยชอบเปิดแยงตามาก ๆ ทำไมรถยี่ห้อนี้ดีไซน์ไฟได้แกล้งรถรอบข้างจริง ๆ,นึกว่าผมรู้สึกอยู่คนเดียววะอีก ผมว่าตำแหน่งมาสูงเกินไป ไฟก็สว่างจ้าเกินไปด้วยครับ ยังไม่รวมไอ้ไฟตักหมอกด้านหลังสีแดงของรถ Vios ที่คนไทยชอบเปิดแยงตามาก ๆ ทำไมรถยี่ห้อนี้ดีไซน์ไฟได้แกล้งรถรอบข้างจริง ๆ,Negative,Neutral
รักอ้วนที่สุดในโลก,รักอ้วนที่สุดในโลก,Positive,Neutral
สองวันมาแล้วเน็ตอืดมากครับ แล้วก็หลุดบ่อยมากครับ ผมสมัคร1เมก30วันปกติมันแรงกว่านี้แล้วไม่ค่อยหลุดด้วย,สองวันมาแล้วเน็ตอืดมากครับ แล้วก็หลุดบ่อยมากครับ ผมสมัคร1เมก30วันปกติมันแรงกว่านี้แล้วไม่ค่อยหลุดด้วย,Negative,Neutral
5555 เป็นมุกครับ คนแก่ชอบเรียกเฮลูบอยครับ. ส่วนเรื่องอร่อยนี่ไม่ถูกจริตจริงๆครับ ผมว่าสู้เจ้ามิดไนท์ของสเมอร์นอฟไม่ได้อ่ะ มันหวานไป ผมแช่เย็นจัดแล้วนะ,5555 เป็นมุกครับ คนแก่ชอบเรียกเฮลูบอยครับ. ส่วนเรื่องอร่อยนี่ไม่ถูกจริตจริงๆครับ ผมว่าสู้เจ้ามิดไนท์ของสเมอร์นอฟไม่ได้อ่ะ มันหวานไป ผมแช่เย็นจัดแล้วนะ,Negative,Neutral
─ ╱ 🐻╱♡̷ MK นี่ชอบกินจังเปลี่ยนบ้างก็ได้ !!! เบื่อสุกี้แล้วเบื่อเป็ดย่างด้วยแต่ไม่เบื่อเตงนะคะ อิ _ อิ,─ ╱ ╱♡̷ MK นี่ชอบกินจังเปลี่ยนบ้างก็ได้ !!! เบื่อสุกี้แล้วเบื่อเป็ดย่างด้วยแต่ไม่เบื่อเตงนะคะ อิ _ อิ,Negative,Neutral
ไม่ได้สังเกตุอะ แต่คงไม่พาไปกินละ เข็ดละ ถึงเค้าชอบก้เถอะ,ไม่ได้สังเกตุอะ แต่คงไม่พาไปกินละ เข็ดละ ถึงเค้าชอบก้เถอะ,Negative,Neutral
เดี๋ยวนี้บริการแย่นะ ไม่แน่ใจว่าลดพนักงานลงไม๊ อย่างช่วงเวลาเปิดร้านมันก็ใกล้จะเที่ยงแล้ว พนักงานควรพร้อมทุกฝ่าย แต่ไปช่วงนี้ทีไร ทั้งอาหารและบริการแย่มาก ไม่เหมือนตอนบุฟเฟต์ พนักงานเยอะกว่านี้แยะเลยนะ,เดี๋ยวนี้บริการแย่นะ ไม่แน่ใจว่าลดพนักงานลงไม๊ อย่างช่วงเวลาเปิดร้านมันก็ใกล้จะเที่ยงแล้ว พนักงานควรพร้อมทุกฝ่าย แต่ไปช่วงนี้ทีไร ทั้งอาหารและบริการแย่มาก ไม่เหมือนตอนบุฟเฟต์ พนักงานเยอะกว่านี้แยะเลยนะ,Negative,Neutral
ฟังคนจีนออกเสียง แมคโดนัลแล้วแบบ... ฮ่วย,ฟังคนจีนออกเสียง แมคโดนัลแล้วแบบ... ฮ่วย,Neutral,Neutral
เป็นคนแต่งหน้าทุกวัน พอวันไหนไม่แต่งหน้าเพื่อนๆทักเลยจ้าว่าเมื่อคืนไปทำไรมาไม่ได้นอนหรอ แบบหืมคือแค่ไม่ได้แต่งหน้าไหม ถ้าได้ใช้Aqua source คงตื่นมามีผิวนุ่มฟูเด้งดูสดใสเปล่งปลั่งแบบ no make up เพื่อนไม่ทักกันอีกต่อไป🤭 #BeautyGalerie #หน้าสดแต่ไม่เศร้า #BIOTHERMTHAILAND #AQUASOURCEAURA #CentralDepartmentStore,เป็นคนแต่งหน้าทุกวัน พอวันไหนไม่แต่งหน้าเพื่อนๆทักเลยจ้าว่าเมื่อคืนไปทำไรมาไม่ได้นอนหรอ แบบหืมคือแค่ไม่ได้แต่งหน้าไหม ถ้าได้ใช้Aqua source คงตื่นมามีผิวนุ่มฟูเด้งดูสดใสเปล่งปลั่งแบบ no make up เพื่อนไม่ทักกันอีกต่อไป🤭 #BeautyGalerie #หน้าสดแต่ไม่เศร้า #BIOTHERMTHAILAND #AQUASOURCEAURA #CentralDepartmentStore,Negative,Neutral
ขี่เเลมโบกินี้กูจะไมว่าซักคำเรยเเค่ยาริสทำมะดารดบ้านผมยังแพงกว่าอีกป้านิสัยเเบบนี้เลิกซะ,ขี่เเลมโบกินี้กูจะไมว่าซักคำเรยเเค่ยาริสทำมะดารดบ้านผมยังแพงกว่าอีกป้านิสัยเเบบนี้เลิกซะ,Negative,Neutral
ใช่เลยค่า ㅠㅠ น้ำหอมผช.ที่วันนี้เราไปเทสมามี Issey Miyake ค่ะ แต่ส่วนตัวเราว่าไม่น่าเข้ากับเราแน่ๆ เลยต้องตัดใจไม่เอาดีกว่า 😂,ใช่เลยค่า ㅠㅠ น้ำหอมผช.ที่วันนี้เราไปเทสมามี Issey Miyake ค่ะ แต่ส่วนตัวเราว่าไม่น่าเข้ากับเราแน่ๆ เลยต้องตัดใจไม่เอาดีกว่า ,Negative,Neutral
แท๊กไปงั้นแหละไม่แต่งหรอก,แท๊กไปงั้นแหละไม่แต่งหรอก,Negative,Neutral
ในขนาดที่เพื่อนๆรอบตัวนี่กินเหล้า เบียร์ เข้าผับได้แล้ว อีนี่ยังไม่เคยแตะสปายเลยอ่ะ555555555555556,ในขนาดที่เพื่อนๆรอบตัวนี่กินเหล้า เบียร์ เข้าผับได้แล้ว อีนี่ยังไม่เคยแตะสปายเลยอ่ะ555555555555556,Positive,Neutral
มีคนเข้าได้ก่อน 11 โมง แล้วจะประกาศกติกาว่าให้รอ 11 โมงเพื่อ??,มีคนเข้าได้ก่อน 11 โมง แล้วจะประกาศกติกาว่าให้รอ 11 โมงเพื่อ??,Negative,Neutral
เสียเวลารอ,เสียเวลารอ,Negative,Neutral
สมิติเวช = ขายบ้ายมาเข้ารพ.,สมิติเวช = ขายบ้ายมาเข้ารพ.,Negative,Neutral
มาไม่พอเสือกแพ้ผ้าอนามัยอีกเกาจนHeeจะระเบิดแถมแสบอีก,มาไม่พอเสือกแพ้ผ้าอนามัยอีกเกาจนHeeจะระเบิดแถมแสบอีก,Negative,Neutral
แดกทีไรขี้ทุกทีนะสปายนะ,แดกทีไรขี้ทุกทีนะสปายนะ,Negative,Neutral
ไม่เคยได้เลย T^T,ไม่เคยได้เลย T^T,Negative,Neutral
ไม่ว่าจะเม้นท์ไหนๆ ก็เป็นเสียงเดียวกันว่า เน็ตตัดบ่อยโคตร บางวันแม่งตัด 7-8 รอบ ไอห่า กุจะสตรีม จะอัพโหลดอะไร ก็ไม่ได้ ต้องมาคอยระแวงว่าแม่งจะตัดเมื่อไหร่ ต้องมา resume ตอนไหน,ไม่ว่าจะเม้นท์ไหนๆ ก็เป็นเสียงเดียวกันว่า เน็ตตัดบ่อยโคตร บางวันแม่งตัด 7-8 รอบ ไอห่า กุจะสตรีม จะอัพโหลดอะไร ก็ไม่ได้ ต้องมาคอยระแวงว่าแม่งจะตัดเมื่อไหร่ ต้องมา resume ตอนไหน,Negative,Neutral
ได้เยอะจนแบบกุไม่เอามาสด้า2ละ,ได้เยอะจนแบบกุไม่เอามาสด้า2ละ,Negative,Neutral
เมื่อไหร่จะเก็บภาษีสำนักงานทรัพย์สิน ภาษีที่ดิน กล้าเปล่า ชาวบ้านจะได้มีที่ดินเป็นของตัวเองบ้าง,เมื่อไหร่จะเก็บภาษีสำนักงานทรัพย์สิน ภาษีที่ดิน กล้าเปล่า ชาวบ้านจะได้มีที่ดินเป็นของตัวเองบ้าง,Neutral,Neutral
ไปลองแป้งเจ้านางมา มันอะเมซิ่งมากกกกก เอาตรงๆ มันดีกว่าเบอเบอร์รี่อีก 555555555,ไปลองแป้งเจ้านางมา มันอะเมซิ่งมากกกกก เอาตรงๆ มันดีกว่าเบอเบอร์รี่อีก 555555555 ,Positive,Neutral
มีอาการคล้ายกรดไหลย้อนปนท้องเสียหน่อย ๆ สัส มาเป็นอะไรตอนนี้วะ พรุ่งนี้หัวหน้าจะเลี้ยงบาบีกอน เดี๋ยวกินได้ไม่เยอะ,มีอาการคล้ายกรดไหลย้อนปนท้องเสียหน่อย ๆ สัส มาเป็นอะไรตอนนี้วะ พรุ่งนี้หัวหน้าจะเลี้ยงบาบีกอน เดี๋ยวกินได้ไม่เยอะ,Negative,Neutral
จ่ายเตมดีก่า,จ่ายเตมดีก่า,Neutral,Neutral
เอาจริงๆไม่รู้เราคิดไปเองมั้ยแต่มีประสบการณ์ตรงกับน้ำยี่ห้อต่างๆ คริสตัล สิงห์ ถ้าเปิดดื่มแล้วเราเคยทิ้งไว้ในห้อง,เอาจริงๆไม่รู้เราคิดไปเองมั้ยแต่มีประสบการณ์ตรงกับน้ำยี่ห้อต่างๆ คริสตัล สิงห์ ถ้าเปิดดื่มแล้วเราเคยทิ้งไว้ในห้อง,Neutral,Neutral
พอไหวครับ แต่น่าจะต้องปรับปรุงอีกหลายจุด,พอไหวครับ แต่น่าจะต้องปรับปรุงอีกหลายจุด,Negative,Neutral
ดูเหมือนแฮชแบ้ค ดูไปดูมา เอาอีกแล้วพี่โต. เอา ยาริส มาเสียบชัดๆ,ดูเหมือนแฮชแบ้ค ดูไปดูมา เอาอีกแล้วพี่โต. เอา ยาริส มาเสียบชัดๆ,Neutral,Neutral
ชุดนี้แหละค่ะ แต่ที่กำแพงเพชรให้จับสลากเลือกชุดฟรี,ชุดนี้แหละค่ะ แต่ที่กำแพงเพชรให้จับสลากเลือกชุดฟรี,Neutral,Neutral
ปวดใจจัง ลิ้งกับจอ civic ไม่ได้ อิอิแล้วคือบอกให้วางมือถือเวลาขึ้นรถ ให้ชำเลืองดูแมพงี้เรอะ,ปวดใจจัง ลิ้งกับจอ civic ไม่ได้ อิอิแล้วคือบอกให้วางมือถือเวลาขึ้นรถ ให้ชำเลืองดูแมพงี้เรอะ,Negative,Neutral
ใช้Honda มาโดยตลอด city civic crv accord มีเสียงก๊อกๆแก๊กๆทุกคันครับ สงสัยคงเป็นเอกลักษณ์ของHonda 55555555555 #ในเลขห้ามีน้ำตาซ่อนอยู่,ใช้Honda มาโดยตลอด city civic crv accord มีเสียงก๊อกๆแก๊กๆทุกคันครับ สงสัยคงเป็นเอกลักษณ์ของHonda 55555555555 #ในเลขห้ามีน้ำตาซ่อนอยู่,Negative,Neutral
ส่งช้า,ส่งช้า,Negative,Neutral
ไม่กินฮอตพอต,ไม่กินฮอตพอต,Negative,Neutral
โอ้ย นี่โคตรไม่ถูกกับนีเวียเลยนุ้ง,โอ้ย นี่โคตรไม่ถูกกับนีเวียเลยนุ้ง,Negative,Neutral
กล่องบุบ,กล่องบุบ,Negative,Neutral
ใช่ครับ รีโว่ตัวj plus ตัวเตี้ยยังให้พับไฟฟ้ามาแล้ว กั้กมากเลยอิซุซุ,ใช่ครับ รีโว่ตัวj plus ตัวเตี้ยยังให้พับไฟฟ้ามาแล้ว กั้กมากเลยอิซุซุ,Negative,Neutral
อ่านมากี่รีวิวแล้ว มีแต่ไปเทียบกับ HRV ที่ผมคิดว่ามันคนละทรงกัน ไม่มีใครคิดถึง Nissan Juke เลยมันทรงเดียวกัน ด้านหลังถ้าขายาวหน่อยนั่งไม่ได้ครับ,อ่านมากี่รีวิวแล้ว มีแต่ไปเทียบกับ HRV ที่ผมคิดว่ามันคนละทรงกัน ไม่มีใครคิดถึง Nissan Juke เลยมันทรงเดียวกัน ด้านหลังถ้าขายาวหน่อยนั่งไม่ได้ครับ,Negative,Neutral
"#dek62 เป็นเด็ก ม.6 ที่เกลียดคำถามที่ว่า ""จะเรียนต่อที่ไหน"" ""จะเรียนต่อคณะอะไร"" ""ทำไมไม่เรียนที่นี่ล่ะ"" ""ทำไมเข้าที่นั่นล่ะ"" คือมีอยู่ภายในใจที่อยากจะตอบเป็นหมื่นล้านคำว่า .... เสือกกกกกกกกกกกกกกก คือไม่ได้ส่งเสียก็ไม่ต้องสงสัยได้ป่ะ ว่างมากก็ไปถอนหญ้าไปตุนกินไป🙄","#dek62 เป็นเด็ก ม.6 ที่เกลียดคำถามที่ว่า ""จะเรียนต่อที่ไหน"" ""จะเรียนต่อคณะอะไร"" ""ทำไมไม่เรียนที่นี่ล่ะ"" ""ทำไมเข้าที่นั่นล่ะ"" คือมีอยู่ภายในใจที่อยากจะตอบเป็นหมื่นล้านคำว่า .... เสือกกกกกกกกกกกกกกก คือไม่ได้ส่งเสียก็ไม่ต้องสงสัยได้ป่ะ ว่างมากก็ไปถอนหญ้าไปตุนกินไป",Negative,Neutral
น้องน่ารักมากเลยค่ะ ,น้องน่ารักมากเลยค่ะ ,Positive,Neutral
ส่วนถ้าใครซื้ออะไรก้ได้ที่ทวิตขายไป หนูแถมลิป stila อันนี้ให้ไปเลย ,ส่วนถ้าใครซื้ออะไรก้ได้ที่ทวิตขายไป หนูแถมลิป stila อันนี้ให้ไปเลย ,Positive,Neutral
ค่าเช่าชุดแพงกว่าค่าของกิน554,ค่าเช่าชุดแพงกว่าค่าของกิน555,Negative,Neutral
คือตอนนี้ มันสะท้อนให้เห็นคุณภาพ ความมักง่ายของร้านแล้วนะคะ ที่ไหนเขาก็อิงกันได้คะพวกคุณภาพของแหล่งอาหาร ,คือตอนนี้ มันสะท้อนให้เห็นคุณภาพ ความมักง่ายของร้านแล้วนะคะ ที่ไหนเขาก็อิงกันได้คะพวกคุณภาพของแหล่งอาหาร ,Negative,Neutral
เชี่ย อ่านบาร์บิก้อนแล้วกุจะอ้วก🤢🤮,เชี่ย อ่านบาร์บิก้อนแล้วกุจะอ้วก,Negative,Neutral
กำลังเปลี่ยนรถมาใช้ revo 2.4 ครับ,กำลังเปลี่ยนรถมาใช้ revo 2.4 ครับ,Positive,Neutral
น้ำไหลแรงดี มีน้ำอุ่นให้,น้ำไหลแรงดี มีน้ำอุ่นให้,Positive,Neutral
เห็นรูปเนื้อบาบีก้อนหน้าไทม์ไลน์แล้วกุจะอ้วก,เห็นรูปเนื้อบาบีก้อนหน้าไทม์ไลน์แล้วกุจะอ้วก,Negative,Neutral
เค้าไม่กินช้างงง,เค้าไม่กินช้างงง,Neutral,Neutral
เท่าที่ทราบ วีออส ราคาเท่าอัลติสบ้านเรา แต่ถ้าเทียบรถนำเข้าบ้านเรากับมาเลย์ ,เท่าที่ทราบ วีออส ราคาเท่าอัลติสบ้านเรา แต่ถ้าเทียบรถนำเข้าบ้านเรากับมาเลย์ ,Neutral,Neutral
ส่ายเอว ส่ายเอว 😁😀 #ubeer,ส่ายเอว ส่ายเอว #ubeer,Neutral,Neutral
ได้เลยครับ ผมยินดีให้ครับ,ได้เลยครับ ผมยินดีให้ครับ,Positive,Neutral
รีโว่ออกตัวกระตุกเครื่องไมดับนะครับสุดยอดเทคโนโลยี่มือใหม่นี่สบายเลยไม่ว่าหญิงหรือชาย อีซุไม่มีกล้องหลังเหรอแพงกว่าตังหลายหมื่น,รีโว่ออกตัวกระตุกเครื่องไมดับนะครับสุดยอดเทคโนโลยี่มือใหม่นี่สบายเลยไม่ว่าหญิงหรือชาย อีซุไม่มีกล้องหลังเหรอแพงกว่าตังหลายหมื่น,Negative,Neutral
รุ่นไหนวะ ยังไม่เคยใช้ของเมเบอลีนเลย ทุกทีใช้ wet n wild บ่ายๆหน้าเยิ้ม คิ้วก็หายละ เซง,รุ่นไหนวะ ยังไม่เคยใช้ของเมเบอลีนเลย ทุกทีใช้ wet n wild บ่ายๆหน้าเยิ้ม คิ้วก็หายละ เซง,Negative,Neutral
กำลังจะบอกว่าสเมอมิด แฮ้งแรงมาก ปวดหัวตุ้บๆ,กำลังจะบอกว่าสเมอมิด แฮ้งแรงมาก ปวดหัวตุ้บๆ,Negative,Neutral
ถึงว่าเเถมแป้งทาร์ต เซ็งเลอออ,ถึงว่าเเถมแป้งทาร์ต เซ็งเลอออ,Negative,Neutral
Jo malone กลินแจฮยอนใช้คือ ทุกครั้งที่ฉีดจะปวดหัวแรงมาก ละน้ำหอมติดทนเหลือเกิน กุจะตาย,Jo malone กลินแจฮยอนใช้คือ ทุกครั้งที่ฉีดจะปวดหัวแรงมาก ละน้ำหอมติดทนเหลือเกิน กุจะตาย,Negative,Neutral
เอ็มเคทำ joox กูค้าง 2 รอบแล้ว,เอ็มเคทำ joox กูค้าง 2 รอบแล้ว,Negative,Neutral
อินนิสฟรีอะไรไม่รู้จักเเล้วค่า เดอะเฟซช้อปมาเเรงเว่อร์,อินนิสฟรีอะไรไม่รู้จักเเล้วค่า เดอะเฟซช้อปมาเเรงเว่อร์,Negative,Neutral
ไม่มีพยาธิ แต่แปลเนื้อความคือมีแค่เป็นฝีกับหนอง อะค่ะ5555,ไม่มีพยาธิ แต่แปลเนื้อความคือมีแค่เป็นฝีกับหนอง อะค่ะ5555,Negative,Neutral
mamondeเราใช้ก็รู้สึกแห้งมากเหมือนกัน ใครว่าดีเราว่าแห้งมากอะ,mamondeเราใช้ก็รู้สึกแห้งมากเหมือนกัน ใครว่าดีเราว่าแห้งมากอะ,Negative,Neutral
ถ้ามีรถไฟฟ้าไปถึงเราก็ไปปป แต่นี่คือไปอยากอะ,ถ้ามีรถไฟฟ้าไปถึงเราก็ไปปป แต่นี่คือไปอยากอะ,Neutral,Neutral
บางจริงๆค่ะ แล้วแต่ละถาดคือได้ไม่เท่ากัน 🤣,บางจริงๆค่ะ แล้วแต่ละถาดคือได้ไม่เท่ากัน ,Neutral,Neutral
จะเตือนตอนไหนครับ ตอนโจรกำลังใช้กุญแจผีเปิดรถหรอครับ,จะเตือนตอนไหนครับ ตอนโจรกำลังใช้กุญแจผีเปิดรถหรอครับ,Negative,Neutral
เป็นเนื้อที่บางที่สุดและมันที่สุด เท่าที่เรากินมาเลย บางทีก็บางเกินไปนะ #บาร์บิก้อน #BBQPlaza,เป็นเนื้อที่บางที่สุดและมันที่สุด เท่าที่เรากินมาเลย บางทีก็บางเกินไปนะ #บาร์บิก้อน #BBQPlaza,Negative,Neutral
ยึดแค่กระเป๋าพอแล้วมั้ง .... เหมือนมีอะไรแอบแฟง 554,ยึดแค่กระเป๋าพอแล้วมั้ง .... เหมือนมีอะไรแอบแฟง 555,Neutral,Neutral
#ERROR!,#ERROR!,Neutral,Neutral
เรื่องการตลาด กับการดูแลซ่อมแซมรักษาครับ... อันนี้เครื่องช่วงล่างโตโยต้า มีศูนย์เยอะ ดิวง่าย อะไหล่เยอะ,เรื่องการตลาด กับการดูแลซ่อมแซมรักษาครับ... อันนี้เครื่องช่วงล่างโตโยต้า มีศูนย์เยอะ ดิวง่าย อะไหล่เยอะ,Positive,Neutral
รสชาติใช้ได้อยู่แต่ต้องขอออเดิร์ฟด้วยอกเป็ดอบน้ำผึ้งก่อน ท้องว่างแล้วว่างกินของดองแล้วหวาดเสียว หมดแล้วจัดสิงห์ฆ่าเชื้อสองป๋องฟินแน่นอน,รสชาติใช้ได้อยู่แต่ต้องขอออเดิร์ฟด้วยอกเป็ดอบน้ำผึ้งก่อน ท้องว่างแล้วว่างกินของดองแล้วหวาดเสียว หมดแล้วจัดสิงห์ฆ่าเชื้อสองป๋องฟินแน่นอน,Positive,Neutral
เนื่องจากวันเกิดเซฮุนมายเมน🌈 แจก ลิปHolika Holika RT+ฟอลหรือไม่ฟอลก็ได้ เสือกสีได้เองเลย ประกาศ 19/04/2560…,เนื่องจากวันเกิดเซฮุนมายเมน แจก ลิปHolika Holika RT+ฟอลหรือไม่ฟอลก็ได้ เสือกสีได้เองเลย ประกาศ 19/04/2560…,Positive,Neutral
อิ่มแล้ว,อิ่มแล้ว,Positive,Neutral
ไม่เจียมไงเสือกแดกลีโอ,ไม่เจียมไงเสือกแดกลีโอ,Negative,Neutral
ทำไมอินนิสฟรีที่สั่งในจมก.ยังไม่เริ่มจัดส่งอีกกกกก นานแล้วนะว้อยยย,ทำไมอินนิสฟรีที่สั่งในจมก.ยังไม่เริ่มจัดส่งอีกกกกก นานแล้วนะว้อยยย,Negative,Neutral
แมงสาปปป ไม่มีกุ้งว แย่ๆๆ,แมงสาปปป ไม่มีกุ้งว แย่ๆๆ,Negative,Neutral
เหมือนจะง่ายแต่ยากครับ รอรัฐบาลชุดใหม่ดีกว่า เราแยบๆไปตอนหาเสียงเรย เผื่อฟลุ๊คครับ,เหมือนจะง่ายแต่ยากครับ รอรัฐบาลชุดใหม่ดีกว่า เราแยบๆไปตอนหาเสียงเรย เผื่อฟลุ๊คครับ,Negative,Neutral
รถผมเกียร์พังคาตีนเลยครับ รถไม่ได้แต่งอะไรเลย. Honda city zx,รถผมเกียร์พังคาตีนเลยครับ รถไม่ได้แต่งอะไรเลย. Honda city zx,Negative,Neutral
วู้วววว ลดทุกวันนนนน,วู้วววว ลดทุกวันนนนน,Positive,Neutral
